congressman_id,name,party,party_id,term
73674,ROBERTO BALESTRA,PP,37903,55
141529,ROBERTO BRITTO,PP,37903,55
160653,ROBERTO DE LUCENA,PODE,36896,55
73805,ROBERTO FREIRE,PPS,36813,55
178995,ROBERTO GÓES,PDT,36786,55
178944,ROBERTO SALES,DEM,36769,55
160652,ROBERTO TEIXEIRA,PP,37903,55
91208,ROBINSON ALMEIDA,PT,36844,55
178840,ROCHA,PSDB,36835,55
141532,ROCHA LOURES,MDB,36899,55
141531,RODRIGO DE CASTRO,PSDB,36835,55
88950,RODRIGO GARCIA,DEM,36769,55
74693,RODRIGO MAIA,DEM,36769,55
178926,RODRIGO MARTINS,PSB,36832,55
178897,RODRIGO PACHECO,DEM,36769,55
141535,ROGÉRIO MARINHO,PSDB,36835,55
160651,ROGÉRIO PENINHA MENDONÇA,MDB,36899,55
160426,ROGÉRIO ROSSO,PSD,36834,55
198963,ROGÉRIO SILVA,MDB,36899,55
141536,RÔMULO GOUVEIA,PSD,36834,55
160515,RONALDO BENEDET,MDB,36899,55
178861,RONALDO CARLETTO,PP,37903,55
160637,RONALDO FONSECA,PODE,36896,55
178845,RONALDO LESSA,PDT,36786,55
122466,RONALDO MARTINS,PRB,36815,55
163321,RONALDO NOGUEIRA,PTB,36845,55
178870,RÔNEY NEMER,PP,37903,55
191684,ROSÂNGELA CURADO,PDT,36786,55
178945,ROSANGELA GOMES,PRB,36815,55
146949,ROSINHA DA ADEFAL,AVANTE,36898,55
178935,ROSSONI,PSDB,36835,55
73466,RUBENS BUENO,PPS,36813,55
74371,RUBENS OTONI,PT,36844,55
178887,RUBENS PEREIRA JÚNIOR,PCdoB,36779,55
141522,SABINO CASTELO BRANCO,PTB,36845,55
160630,SÁGUAS MORAES,PT,36844,55
178990,SAMUEL MOREIRA,PSDB,36835,55
74372,SANDES JÚNIOR,PP,37903,55
160621,SANDRO ALEX,PSD,36834,55
74762,SARAIVA FELIPE,MDB,36899,55
74210,SARNEY FILHO,PV,36851,55
178921,SEBASTIÃO OLIVEIRA,PR,36814,55
73808,SÉRGIO BRITO,PSD,36834,55
141542,SÉRGIO MORAES,PTB,36845,55
178991,SÉRGIO REIS,PRB,36815,55
178933,SERGIO SOUZA,MDB,36899,55
178874,SERGIO VIDIGAL,PDT,36786,55
160612,SERGIO ZVEITER,DEM,36769,55
167614,SEVERINO NINHO,PSB,36832,55
178961,SHÉRIDAN,PSDB,36835,55
160613,SIBÁ MACHADO,PT,36844,55
74765,SILAS BRASILEIRO,MDB,36899,55
74356,SILAS CÂMARA,PRB,36815,55
187008,SILAS FREIRE,PODE,36896,55
4930,SILVIO COSTA,AVANTE,36898,55
73560,SILVIO TORRES,PSDB,36835,55
73424,SIMÃO SESSIM,PP,37903,55
178911,SIMONE MORGADO,MDB,36899,55
178946,SORAYA SANTOS,PR,36814,55
178947,SÓSTENES CAVALCANTE,DEM,36769,55
92776,STEFANO AGUIAR,PSD,36834,55
177282,SUBTENENTE GONZAGA,PDT,36786,55
178922,TADEU ALENCAR,PSB,36832,55
74385,TAKAYAMA,PSC,36833,55
73831,TAMPINHA,PSD,36834,55
178898,TENENTE LÚCIO,PR,36814,55
178901,TEREZA CRISTINA,DEM,36769,55
160617,THIAGO PEIXOTO,PSD,36834,55
178862,TIA ERON,PRB,36815,55
160976,TIRIRICA,PR,36814,55
160611,TONINHO PINHEIRO,PP,37903,55
178934,TONINHO WANDSCHEER,PROS,36763,55
178863,ULDURICO JUNIOR,PPL,36762,55
195866,VAIDON OLIVEIRA,PROS,36763,55
194340,VAL AMÉLIO,PRTB,36829,55
141384,VALADARES FILHO,PSB,36832,55
74010,VALDIR COLATTO,MDB,36899,55
160610,VALMIR ASSUNÇÃO,PT,36844,55
113247,VALMIR PRASCIDELLI,PT,36844,55
141552,VALTENIR PEREIRA,MDB,36899,55
74376,VANDER LOUBET,PT,36844,55
141553,VANDERLEI MACRIS,PSDB,36835,55
178913,VENEZIANO VITAL DO RÊGO,PSB,36832,55
74308,VICENTE ARRUDA,PR,36814,55
160622,VICENTE CANDIDO,PT,36844,55
74283,VICENTINHO,PT,36844,55
137070,VICENTINHO JÚNIOR,PR,36814,55
178888,VICTOR MENDES,MDB,36899,55
141555,VINICIUS CARVALHO,PRB,36815,55
160591,VINICIUS GURGEL,PR,36814,55
178992,VITOR LIPPI,PSDB,36835,55
92355,VITOR PAULO,PRB,36815,55
178869,VITOR VALIM,PROS,36763,55
189593,WADIH DAMOUS,PT,36844,55
137853,WADSON RIBEIRO,PCdoB,36779,55
160569,WALDENOR PEREIRA,PT,36844,55
141558,WALDIR MARANHÃO,PSDB,36835,55
160631,WALNEY ROCHA,PATRI,37900,55
178952,WALTER ALVES,MDB,36899,55
141560,WALTER IHOSHI,PSD,36834,55
160609,WALTER TOSTA,PSD,36834,55
204760,WASHINGTON CORAÇÃO VALENTE,PDT,36786,55
160620,WASHINGTON REIS,MDB,36899,55
160518,WELITON PRADO,PROS,36763,55
74043,WELLINGTON ROBERTO,PR,36814,55
167493,WEVERTON ROCHA,PDT,36786,55
141563,WILLIAM WOO,PP,37903,55
193066,WILSON BESERRA,MDB,36899,55
160636,WILSON FILHO,PTB,36845,55
73930,WLADIMIR COSTA,SOLIDARIEDADE,37904,55
74439,WOLNEY QUEIROZ,PDT,36786,55
199809,XUXU DAL MOLIN,PSC,36833,55
73992,YEDA CRUSIUS,PSDB,36835,55
191945,ZÉ AUGUSTO NALIN,DEM,36769,55
178889,ZÉ CARLOS,PT,36844,55
73931,ZÉ GERALDO,PT,36844,55
160632,ZÉ SILVA,SOLIDARIEDADE,37904,55
178923,ZECA CAVALCANTI,PTB,36845,55
160592,ZECA DIRCEU,PT,36844,55
178902,ZECA DO PT,PT,36844,55
178949,ZENAIDE MAIA,PHS,36793,55
74392,ZONTA,PSB,36832,55
204554,Abílio Santana,PL,37906,56
204521,Abou Anni,PSL,36837,56
204379,Acácio Favacho,PROS,36763,56
204560,Adolfo Viana,PSDB,36835,56
204528,Adriana Ventura,NOVO,37901,56
121948,Adriano do Baldy,PP,37903,56
74646,Aécio Neves,PSDB,36835,56
141372,Aelton Freitas,PL,37906,56
160508,Afonso Florence,PT,36844,56
136811,Afonso Hamm,PP,37903,56
